idx	sentiment_bert_raw	negative_word	positive_word	product_avg_rating	product_std_rating	rating_diff	review_rating	question	links	word_count	product_name_mention	num_mentioned_brand	brand_mention	is_spam
9722	positive	0	3	3.64	0.7713892158398701	-0.6400000000000001	3	no	no	33	yes	0	no	0.0
10212	positive	1	1	3.82	0.9226110083151836	-2.82	1	no	no	52	yes	0	no	1.0
10231	positive	7	12	3.82	0.9226110083151836	0.18000000000000016	4	no	no	42	no	3	yes	1.0
10548	positive	6	7	3.3	1.1	-1.2999999999999998	2	no	no	26	no	0	no	1.0
10630	negative	4	3	3.98	1.108482132868586	0.020000000000000014	4	no	no	41	no	1	no	1.0
10749	negative	2	0	4.56	0.7490129559381904	-0.5599999999999996	4	no	no	27	no	1	yes	1.0
11066	positive	4	1	4.1	0.8306623862918074	-2.1	2	no	no	46	yes	7	yes	1.0
11090	positive	6	6	3.43	0.9035079029052512	-1.4300000000000002	2	no	no	44	yes	7	no	1.0
11245	positive	0	2	3.6	1.019803902718557	-1.6	2	no	no	38	yes	1	yes	1.0
11256	positive	11	7	3.08	1.440968038815882	-1.08	2	no	no	89	yes	8	no	1.0
11275	negative	5	3	3.71	0.9005915819220351	0.29000000000000004	4	no	no	50	yes	0	no	1.0
11321	negative	8	6	3.71	0.9005915819220351	0.29000000000000004	4	no	no	62	yes	0	no	1.0
11349	positive	1	1	3.64	0.8112726208286106	-1.64	2	no	no	30	no	3	no	1.0
11380	neutral	1	4	3.32	1.1968282914368602	0.6800000000000002	4	no	no	48	yes	15	yes	1.0
11547	positive	6	3	3.09	1.137877779122339	-2.09	1	no	no	33	yes	2	no	1.0
11559	positive	2	1	3.09	1.137877779122339	-1.09	2	no	no	28	no	0	no	1.0
12216	positive	1	4	4.08	0.9090593428863096	-3.08	1	no	no	33	yes	1	no	1.0
13250	positive	4	2	4.12	1.0532687216470449	-2.12	2	no	no	30	yes	0	no	1.0
4189	positive	3	3	3.0	1.0	-1.0	2	no	no	26	no	0	no	1.0
4263	positive	1	0	4.14	1.0312295868207546	-3.14	1	no	no	37	no	1	no	1.0
6562	positive	3	5	3.33	1.1055415967851334	-1.33	2	no	no	29	yes	1	no	1.0
3114	positive	2	2	4.31	0.7472398188926868	-2.31	2	no	no	27	no	1	no	1.0
5828	positive	7	7	3.53	1.0165867762208407	-1.5299999999999998	2	no	no	30	no	0	no	1.0
2697	positive	6	5	3.34	0.9509994742374992	-2.34	1	no	no	32	no	0	no	1.0
5441	positive	2	4	4.11	0.8163512321805259	-2.1100000000000003	2	no	no	23	no	0	no	1.0
9035	negative	4	2	2.58	1.044143996961402	-1.58	1	no	no	39	no	1	no	0.0
14904	positive	4	1	3.18	0.9359663764533636	-1.1800000000000002	2	no	no	25	yes	3	no	1.0
7702	positive	5	5	3.6	0.7118052168020874	-1.6	2	no	no	28	no	0	no	1.0
5625	positive	4	5	4.04	0.9883889063265474	-2.04	2	no	no	27	yes	0	no	1.0
11204	positive	4	3	4.09	0.8999540851465151	-2.09	2	no	no	27	yes	0	no	1.0
14951	positive	3	2	3.71	0.924484332088336	-1.71	2	no	no	35	yes	8	yes	1.0
6961	positive	3	4	4.24	0.9716646702463552	-2.24	2	no	no	26	yes	0	no	1.0
5987	positive	2	1	3.38	0.9921567416492216	-1.38	2	no	no	31	no	1	yes	1.0
10407	positive	0	2	2.79	0.9003075214714099	0.21	3	no	no	30	no	0	no	0.0
6965	positive	5	4	4.24	0.9716646702463552	-2.24	2	no	no	31	yes	0	no	1.0
4283	positive	0	3	4.14	1.0312295868207546	-2.14	2	no	no	29	no	0	no	1.0
942	positive	2	2	3.0	0.7071067811865476	-1.0	2	no	no	39	yes	2	yes	0.0
1015	positive	4	3	3.0	0.9258200997725514	1.0	4	no	no	35	no	5	yes	1.0
1739	positive	6	5	3.2	0.9797958971132712	0.7999999999999998	4	no	no	54	yes	0	no	0.0
2958	positive	4	5	3.97	0.7951240294584375	0.029999999999999805	4	no	no	25	yes	0	no	1.0
3093	positive	4	6	4.5	0.8660254037844386	0.5	5	no	no	71	yes	1	no	0.0
3403	positive	2	4	3.86	0.9897433186107872	-0.8599999999999999	3	yes	no	25	yes	3	no	1.0
4512	positive	3	4	3.88	0.9709316831442536	0.1200000000000001	4	no	no	55	yes	12	no	0.0
4563	positive	5	3	4.23	0.8034647195462633	0.7699999999999996	5	no	no	32	no	13	no	0.0
