idx	is_spam
9722	0
10212	1
10231	1
10548	1
10630	1
10749	1
11066	1
11090	1
11245	1
11256	1
11275	1
11321	1
11349	1
11380	1
11547	1
11559	1
12216	1
13250	1
4189	1
4263	1
6562	1
3114	1
5828	1
2697	1
5441	1
9035	0
14904	1
7702	1
5625	1
11204	1
14951	1
6961	1
5987	1
10407	0
6965	1
4283	1
942	0
1015	1
1739	0
2958	1
3093	0
3403	1
4512	0
4563	0
4959	0
1879	1
7901	0
4935	0
10343	1
12911	0
174	1
850	1
885	1
1009	1
1011	0
3091	1
3173	1
3195	1
3263	0
3268	0
3298	1
3310	1
3311	1
3365	0
3366	0
3400	0
3401	1
4517	1
4518	1
4526	1
4541	0
4594	1
4666	1
4667	0
4671	1
4679	1
4705	1
4710	1
4732	0
4954	1
4997	1
5021	1
5025	1
5275	1
5690	1
5692	0
5694	0
9427	0
12323	1
10004	0
12548	1
13295	0
13503	0
14932	0
3750	0
2037	1
8687	0
9892	0
14601	0
9351	1
10065	0
14410	0
11229	0
12395	1
9155	0
11199	1
10415	0
12092	0
7407	0
13125	0
6535	0
1925	1
1837	0
2914	1
2433	1
7768	1
4251	1
2592	0
14625	0
14758	0
6009	0
2533	0
1498	0
9397	0
9526	0
5908	0
3428	0
13060	0
773	0
2623	0
1676	0
11952	0
8169	0
13171	0
6043	0
6044	1
6405	1
6490	1
6495	0
6776	1
7027	1
7028	1
7036	0
7037	1
7040	1
7041	0
7048	1
7059	1
7062	1
7161	1
7163	1
7172	1
7245	1
7247	1
7249	1
7250	1
7276	0
7790	1
8310	1
8365	1
9469	0
14227	1
14277	1
14519	1
14579	1
14741	0
14756	1
2337	1
3071	1
12907	0
4262	1
8491	0
2349	1
2899	1
12871	1
4886	1
5910	1
13121	1
12956	0
9393	1
8953	1
13357	0
12501	1
5489	1
6891	1
14250	0
11771	1
12273	0
12669	1
10812	1
5412	1
1236	1
1365	1
3330	1
1763	1
12698	1
3346	1
8766	0
9838	1
4488	1
3105	1
4939	1
2352	1
12872	1
7647	1
5118	1
1617	1
1228	0
1058	1
2338	1
11116	1
8197	1
5198	0
5122	0
8541	1
9177	0
1497	1
9959	1
9835	1
1875	1
6105	0
8449	0
5365	0
6574	0
14269	0
6235	0
1047	0
9411	0
1197	0
7328	0
5750	0
12087	0
10395	0
2943	0
14614	0
11240	0
6188	0
171	0
3581	0
175	0
11379	0
6740	0
5361	0
14440	0
7211	1
824	0
3732	0
11049	0
4694	0
14726	0
12261	0
8316	1
9429	0
14764	0
8200	0
11705	0
7132	0
10590	0
11157	1
4962	0
9900	0
8320	0
14478	0
14750	0
3772	0
4944	0
6395	0
211	0
10739	0
5530	0
5761	0
1786	0
1850	1
11077	0
10868	0
12536	0
3308	0
4624	0
3443	0
10318	0
6931	0
4916	0
680	0
7046	1
3362	0
14472	0
6014	0
14050	0
6402	0
7099	0
720	0
12796	0
6554	0
1188	0
14432	0
7862	0
143	0
7119	0
4316	0
10636	0
11448	0
6142	0
14291	0
93	0
6301	0
11118	0
8183	0
8902	0
6379	0
5796	0
4527	0
6261	0
9025	0
14975	0
6061	0
3442	0
834	0
12404	0
10179	0
9043	0
5199	0
3014	0
13347	0
6374	0
3731	0
11721	0
9908	0
4482	0
3086	0
12274	0
10291	0
11815	0
5315	0
10266	0
874	0
13042	0
2098	0
3805	0
9229	0
2734	0
6033	0
11363	0
13454	0
11093	0
3019	0
6874	0
12782	0
3233	0
10454	0
7058	0
9199	0
3724	0
5868	0
4581	0
9236	0
3996	0
10031	0
9916	0
14480	0
11961	0
1926	0
10393	0
10080	0
11035	0
11007	0
14544	0
6760	0
14484	0
12965	0
6569	0
6544	0
6010	1
3239	0
13251	0
14088	0
4998	0
5997	0
13743	0
9711	0
11252	0
5693	0
11279	0
3315	0
6948	0
10108	0
11799	0
11438	0
6757	0
4929	0
8768	0
10314	0
9970	0
10119	0
2965	0
6396	0
6063	0
5711	0
3478	0
14303	0
62	0
6377	0
7210	0
1538	0
10164	0
11194	0
6162	0
6161	0
11305	0
9413	0
4442	0
12441	0
6348	0
2651	0
10392	0
5928	0
12102	0
4840	0
6317	0
8256	0
4972	0
4739	0
1839	0
1258	0
10862	0
4961	0
11306	0
554	0
6319	0
10502	0
1105	0
10123	0
8683	0
6413	0
6015	1
1369	0
11326	0
13218	1
9979	0
10074	0
13944	0
9226	0
13425	0
7551	0
11067	0
6523	0
9172	0
6143	0
5740	0
14164	0
14556	0
9194	0
3188	0
6520	0
12304	0
11480	0
14921	0
10633	0
3306	0
6930	0
6177	0
5724	0
564	0
3226	0
7080	0
2262	0
11436	0
11616	0
10628	0
2054	0
6002	0
9086	0
7626	0
10339	0
994	0
2723	0
5659	0
3088	0
9840	0
6094	1
4147	0
8726	0
8372	0
8910	0
10400	0
6209	0
3064	0
9483	0
4008	0
4542	0
2309	0
11796	0
6593	0
3174	0
6968	0
10936	0
7076	0
14749	0
14967	0
6614	0
11690	0
8294	0
3248	0
1208	0
12603	0
6909	0
10730	0
13876	0
13134	0
2746	0
14112	0
4747	0
6953	0
12676	0
7274	0
8915	0
8187	0
6731	0
11654	0
12702	0
11682	0
3171	0
13204	0
10435	0
4602	0
14306	0
13745	0
1731	1
14555	0
10259	0
6325	0
6203	0
10533	0
2739	0
3583	0
5815	0
8374	0
4698	0
7113	0
8906	1
6532	0
13217	0
14301	0
1814	0
529	0
12125	0
11708	0
14798	0
13224	0
5549	0
11561	0
699	0
4462	0
9476	0
10993	0
6755	0
14711	0
4492	0
8682	0
4141	0
14729	0
3207	0
1078	0
7512	0
3043	0
7450	0
6163	0
3245	0
6741	0
10261	0
10781	0
14527	0
10870	0
7262	0
6759	0
12222	0
881	0
48	0
14239	0
9613	0
5340	0
4444	0
3232	0
9379	0
842	0
13435	0
11518	0
13445	0
14380	0
6168	0
11307	0
11620	0
4923	0
11702	0
469	0
13221	0
4143	0
10601	0
8494	0
5695	0
11180	0
9151	0
8305	0
7054	0
12843	0
473	0
4150	0
3209	0
6071	0
4910	0
7823	0
1080	0
7219	0
7051	0
1176	0
7708	0
4976	0
7475	0
11038	0
3275	0
3300	0
